ID,展开类型,枚举对象,源用例,优先级,执行要点,预期结果,生成时间,requiredEvidence,designCaseId,expandedCaseId,design_status,terminalType,terminal,agent,OS,Node/npm,shell,TTY,installLayout,mcpTransport,hookSupport,owner,依赖,执行状态,执行时间,evidencePath,blockedReason
EXP-C4-09,D3-C4服务矩阵,CTS,D3-C4,P1,CTS 只读规划冒烟: list_operations + plan 只读命令,CTS 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-09,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-09/stdout.txt,
EXP-C4-10,D3-C4服务矩阵,CES,D3-C4,P1,CES 只读规划冒烟: list_operations + plan 只读命令,CES 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-10,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-10/stdout.txt,
EXP-C4-11,D3-C4服务矩阵,DDS,D3-C4,P1,DDS 只读规划冒烟: list_operations + plan 只读命令,DDS 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-11,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-11/stdout.txt,
EXP-C4-12,D3-C4服务矩阵,DCS,D3-C4,P1,DCS 只读规划冒烟: list_operations + plan 只读命令,DCS 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-12,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-12/stdout.txt,
EXP-C4-13,D3-C4服务矩阵,SMN,D3-C4,P1,SMN 只读规划冒烟: list_operations + plan 只读命令,SMN 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-13,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-13/stdout.txt,
EXP-C4-14,D3-C4服务矩阵,DMS,D3-C4,P1,DMS 只读规划冒烟: list_operations + plan 只读命令,DMS 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-14,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-14/stdout.txt,
EXP-C4-15,D3-C4服务矩阵,WAF,D3-C4,P1,WAF 只读规划冒烟: list_operations + plan 只读命令,WAF 只读规划冒烟命令语法/参数正确；轻量创建→立即释放→归零验证,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-15,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-15/stdout.txt,
EXP-C4-16,D3-C4服务矩阵,CDN,D3-C4,P1,CDN 只读规划冒烟: list_operations + plan 只读命令,CDN 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-16,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-16/stdout.txt,
EXP-C4-17,D3-C4服务矩阵,ModelArts,D3-C4,P1,ModelArts 只读规划冒烟: list_operations + plan 只读命令,ModelArts 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-17,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-17/stdout.txt,
EXP-C4-18,D3-C4服务矩阵,DEW,D3-C4,P1,DEW 只读规划冒烟: list_operations + plan 只读命令,DEW 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-18,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-18/stdout.txt,
EXP-C4-19,D3-C4服务矩阵,CBR,D3-C4,P1,CBR 只读规划冒烟: list_operations + plan 只读命令,CBR 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-19,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-19/stdout.txt,
EXP-C4-20,D3-C4服务矩阵,EVS,D3-C4,P1,EVS 只读规划冒烟: list_operations + plan 只读命令,EVS 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-20,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-20/stdout.txt,
EXP-C4-21,D3-C4服务矩阵,EIP,D3-C4,P1,EIP 只读规划冒烟: list_operations + plan 只读命令,EIP 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-21,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-21/stdout.txt,
EXP-C4-22,D3-C4服务矩阵,ELB,D3-C4,P1,ELB 只读规划冒烟: list_operations + plan 只读命令,ELB 只读规划冒烟命令语法/参数正确，规范路由可执行,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D3-C4,EXP-C4-22,DESIGN_COVERED,展开22服务矩阵,Hermes 代表终端,Hermes,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,non-TTY；需要交互时必须提供 PTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按用例需要；未涉及则 n/a,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-C4-22/stdout.txt,
EXP-E01,D10评测集,帮我查一下我账号在华北北京四有哪些云主机,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: ECS查询→run_readonly)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 ECS查询→run_readonly,"源码级断言: serviceCatalog 中文意图命中 ECS查询→run_readonly 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活 list_operations/ECS skill, 走只读, 结果准确",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E01,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E01/stdout.txt,
EXP-E02,D10评测集,"创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型",D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: ECS创建→plan/approve)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 ECS创建→plan/approve,"源码级断言: serviceCatalog 中文意图命中 ECS创建→plan/approve 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 走 plan→审批流, 不直接执行",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E02,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E02/stdout.txt,
EXP-E03,D10评测集,把本地 dist 目录部署成一个公网静态网站,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: OBS静态站→deploy)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 OBS静态站→deploy,"源码级断言: serviceCatalog 中文意图命中 OBS静态站→deploy 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活OBS skill, 完成部署+URL",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E03,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E03/stdout.txt,
EXP-E04,D10评测集,给这台服务器绑定一个弹性公网IP,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: EIP→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 EIP→plan,"源码级断言: serviceCatalog 中文意图命中 EIP→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 走审批流, 参数完整",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E04,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E04/stdout.txt,
EXP-E05,D10评测集,看一下我的云数据库MySQL实例的状态,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: RDS查询→read)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 RDS查询→read,"源码级断言: serviceCatalog 中文意图命中 RDS查询→read 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 只读查询, 结果正确",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E05,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E05/stdout.txt,
EXP-E06,D10评测集,创建一个 Redis 缓存实例用于会话存储,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: DCS创建→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 DCS创建→plan,源码级断言: serviceCatalog 中文意图命中 DCS创建→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活 DCS skill，走审批流，参数完整（规格/容量/密码）,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E06,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,PASS,20260916071244,evidence/EXP-E06/stdout.txt,
EXP-E07,D10评测集,给生产环境的服务器配置一个每日备份策略,D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: CBR→plan)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 CBR→plan,源码级断言: serviceCatalog 中文意图命中 CBR→plan 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 激活CBR skill,2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E07,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E07/stdout.txt,
EXP-E08,D10评测集,"我的ECS启动失败了, 帮我分析原因",D10-3,P1,①源码级: node eval/harness/run-eval.mjs 跑 serviceCatalog(intent=中文意图) 路由核对(期望: explain_error→诊断)，无需 LLM ②Agent行为: 真实 Agent 会话逐任务验证期望路由 explain_error→诊断,"源码级断言: serviceCatalog 中文意图命中 explain_error→诊断 对应服务(harness 实测基线 21.4% MISS，未命中即判 FAIL); Agent断言: 走 explain_error/只读诊断, 给出原因",2026-09-05,强断言：逐行执行要点与预期结果；保留日志、manifest、前后快照和清理记录,D10-3,EXP-E08,DESIGN_COVERED,COMMON,Hermes/Codex/OpenCode,Hermes/Codex/OpenCode,Windows/Linux,Node >=22；npm/npx 按 OS 记录,PowerShell（Windows）/bash（Linux）/zsh（macOS）,TTY + non-TTY,隔离 HOME + plugin 目录 + npm cache + HUAWEICLOUD_HOME fixture,stdio（适用时）；函数/fixture 层否则,按客户端记录,测试负责人,源设计用例；独立 manifest；finally 清理,FAIL,20260916071244,evidence/EXP-E08/stdout.txt,
