层级,ID,维度,标题,优先级,OpenCode-Windows,OpenCode-Linux,Codex-Windows,Codex-Linux,CodeArtsAgent-Windows,CodeArtsAgent-Linux,CodeArtsWork-Windows,CodeArtsWork-Linux,WorkBuddy-Windows,WorkBuddy-Linux,DSH-Windows,DSH-Linux,OfficeAce-Windows,OfficeAce-Linux,Hermes-Windows,Hermes-Linux,OpenClaw-Windows,OpenClaw-Linux,AtomCode-Windows,AtomCode-Linux,当日总执行状态
设计级,D1-41,D1安装,check_update 真实 MCP 返回契约,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-42,D1安装,dismiss 真实闭环与跨调用持久化,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-43,D1安装,dismiss 参数边界与失败语义,P1,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D1-44,D1安装,冷却边界与异常 skip 状态,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-45,D1安装,兜底提示真实序列与预热竞态,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-46,D1安装,缓存 TTL 边界与查询异常恢复,P1,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D1-47,D1安装,缓存与当前版本解耦,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-48,D1安装,多 Agent 路径与多进程隔离,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-49,D1安装,upgrade handler 无更新与参数校验,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-50,D1安装,upgrade 命令语义与目标选择,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-51,D1安装,upgrade 失败恢复与副作用,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-52,D1安装,真实升级安装与重启生效,P1,,,,,,,,,,,,,BLOCKED,,,,,,,,BLOCKED
设计级,D1-53,D1安装,镜像滞后确定性夹具,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-54,D1安装,Hermes 会话级用户闭环,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D1-55,D1安装,多会话提示隔离,P2,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D1-56,D1安装,安装中断恢复（网络/进程中断后半装补全）,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-57,D1安装,升级坏版本回滚（装坏可退）,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D1-58,D1安装,通用 MCP 白名单接入（Claude/Cursor merge 语义）,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-8,D2认证,credentials变更后auth回归,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D2-9,D2认证,reconcile幂等(一致态零写),P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D2-10,D2认证,R7 current档跟随,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-11,D2认证,R3 STS token拒绝落盘,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-12,D2认证,R10 runtime非空禁止落盘,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-13,D2认证,R9 configuredBySession优先env,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-14,D2认证,R2 冲突交互仲裁(confirmToken),P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-15,D2认证,auth_switch行为矩阵抽查,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-16,D2认证,import文件读取后擦除,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-17,D2认证,cmdAuthReconcile非TTY守卫,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D2-18,D2认证,.last_sync mtime手动改动检测,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-19,D2认证,命名档只审计不自动动(R5),P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-20,D2认证,HUAWEICLOUD_HOME重定向(R6),P2,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D2-21,D2认证,AK/SK 轮换后 auth_status 正确感知（凭证状态维度）,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-18,D4安全,confirm-not-deny审批语义,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-19,D4安全,确认流下预检仍生效,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-20,D4安全,拒绝后零操作,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D2-1,D2认证,auth init三端同步,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D2-2,D2认证,auth status判定准确性,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-3,D2认证,auth sync幂等,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D2-4,D2认证,凭证脱敏正确性,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-5,D2认证,凭证缺失报错指引,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-6,D2认证,OBS独立配置引导,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D2-7,D2认证,无凭证降级,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-A1,D3功能,skill检索完整性,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-A2,D3功能,触发词路由准确,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D3-A3,D3功能,沙箱vs生产路由,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D3-A4,D3功能,区域意图提取,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-A5,D3功能,元数据正确性,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-A6,D3功能,市场/图标检索质量,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B1,D3功能,list_operations规范名,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B2,D3功能,plan命令质量,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B3,D3功能,run_readonly脱敏执行,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B4,D3功能,explain_error可执行,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B5,D3功能,detect_framework识别,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B6,D3功能,search_docs命中率,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-C1,D3功能,ECS生命周期E2E,P1,,,,,,,,,,,,,BLOCKED,,,,,,,,BLOCKED
设计级,D3-C2,D3功能,OBS静态站部署E2E,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-C3,D3功能,沙箱部署E2E,P1,,,,,,,,,,,,,BLOCKED,,,,,,,,BLOCKED
设计级,D3-C4,D3功能,服务创建类回归,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D3-C5,D3功能,工具冒烟,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B7,D3功能,run_approved_command 审批后执行闭环,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-B8,D3功能,voucher_status 状态查询（领券状态读取）,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-C6,D3功能,沙箱 7 隐式工具具名冒烟（check_user/credentials/sign_agreement/exec_one_shot/upload_file/close_session/deploy_check）,P1,,,,,,,,,,,,,BLOCKED,,,,,,,,BLOCKED
设计级,D3-C7,D3功能,跨区域资源操作引导（区域维度）,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D3-C8,D3功能,企业项目（enterprise_project_id）参数支持（项目维度）,P1,,,,,,,,,,,,,BLOCKED,,,,,,,,BLOCKED
设计级,D3-C9,D3功能,资源不存在/已删除/冻结状态操作引导（资源状态维度）,P1,,,,,,,,,,,,,FAIL,,,,,,,,FAIL
设计级,D4-1,D4安全,凭证文件读取拦截,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D4-2,D4安全,凭证env打印拦截,P0,,,,,,,,,,,,,FAIL,,,,,,,,FAIL
设计级,D4-3,D4安全,明文secret API拦截,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-4,D4安全,写操作审批门,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-5,D4安全,写操作误判检测,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-6,D4安全,adminPass回显警告,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-7,D4安全,hook三工具有效性,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-8,D4安全,Python/Node策略一致,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-9,D4安全,公开暴露/破坏性预检,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-10,D4安全,规则库新增回归,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-11,D4安全,提示注入防护,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-12,D4安全,供应链安装期安全,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-13,D4安全,最小权限凭证通过率,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-14,D4安全,操作可审计性,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-15,D4安全,hook绕过尝试,P0,,,,,,,,,,,,,FAIL,,,,,,,,FAIL
设计级,D4-16,D4安全,命令包裹穿透,P0,,,,,,,,,,,,,FAIL,,,,,,,,FAIL
设计级,D4-17,D4安全,hook模糊fail-closed,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-21,D4安全,hook_check_artifacts 具名回归（代码/IaC/策略制品预检）,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D4-22,D4安全,hook_check_deploy_plan 具名回归（部署计划预检）,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D4-23,D4安全,全局规则 huawei-agent-rules.md 注入生效性（11 安装目标）,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D4-24,D4安全,确认令牌过期与重复确认边界（审批流健壮性）,P1,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D5-1,D5客户端,清单发现加载,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D5-2,D5客户端,install落点正确,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D5-3,D5客户端,工具全量枚举,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D5-4,D5客户端,hook支持差异,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D5-5,D5客户端,沙箱/终端模式差异,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D5-6,D5客户端,Windows特有问题,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D5-7,D5客户端,重启生效一致性,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D5-8,D5客户端,服务矩阵↔技能目录双向对齐 + codex-desktop 补全,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D6-1,D6性能,检索响应延迟,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D6-2,D6性能,只读执行端到端,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D6-3,D6性能,MCP冷启时间,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D6-4,D6性能,并发调度正确性,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D6-5,D6性能,大目录/大上传,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D6-6,D6性能,弱网重试幂等,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D6-7,D6性能,长会话稳定性,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D6-8,D6性能,MCP 工具调用超时（网络/后端挂起）,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D9-9,D9协议,tools/call 超时协议语义与取消,P1,,,,,,,,,,,,,SPEC-MISMATCH,,,,,,,,SPEC-MISMATCH
设计级,D7-1,D7兼容,OS矩阵,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D7-2,D7兼容,Node版本矩阵,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D7-3,D7兼容,Windows better-sqlite3缺口,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D7-4,D7兼容,国内镜像源安装,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D7-5,D7兼容,与既有配置共存,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D7-6,D7兼容,升级兼容,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D8-1,D8质量,文档与能力一致,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D8-2,D8质量,错误信息可执行,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D8-3,D8质量,脱敏误报平衡,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D8-4,D8质量,引导步骤可机械执行,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D8-5,D8质量,运行时日志安全,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D8-6,D8质量,中英文文档一致,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D8-7,D8质量,7 个 meta/通用技能指引可机械执行验证,P0,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D8-8,D8质量,遥测策略端到端（trackTool/trackSandbox/hook 事件/上报脱敏）,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D9-1,D9协议,tools/list合规,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D9-2,D9协议,JSON-RPC错误码,P1,,,,,,,,,,,,,FAIL,,,,,,,,FAIL
设计级,D9-3,D9协议,tools/call响应格式,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D9-4,D9协议,协议生命周期,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D9-5,D9协议,stdio传输健壮,P1,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D9-6,D9协议,跨客户端互通,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D9-7,D9协议,协议版本协商降级,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D9-8,D9协议,inputSchema版本合规,P2,,,,,,,,,,,,,PASS,,,,,,,,PASS
设计级,D10-1,D10评测,工具描述可选择性,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-2,D10评测,skill激活率,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-3,D10评测,路由准确率+混淆矩阵,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-4,D10评测,安全干预有效性,P0,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-5,D10评测,多轮任务完成率,P1,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-6,D10评测,评测基建,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-7,D10评测,评测失败分级,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
设计级,D10-8,D10评测,评测成本预算,P2,,,,,,,,,,,,,NOT_RUN,,,,,,,,NOT_RUN
