层级,ID,展开类型,枚举对象,源用例,优先级,Hermes-124.70.78.131-Linux,OpenCode-188.239.14.150-Windows,WorkBuddy-188.239.14.150-Windows,当日总执行状态,当日总执行时间
展开级,EXP-C4-14,D3-C4服务矩阵,DMS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-15,D3-C4服务矩阵,WAF,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-16,D3-C4服务矩阵,CDN,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-17,D3-C4服务矩阵,ModelArts,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-18,D3-C4服务矩阵,DEW,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-19,D3-C4服务矩阵,CBR,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-20,D3-C4服务矩阵,EVS,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-21,D3-C4服务矩阵,EIP,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-C4-22,D3-C4服务矩阵,ELB,D3-C4,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-E01,D10评测集,帮我查一下我账号在华北北京四有哪些云主机,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E02,D10评测集,"创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型",D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E03,D10评测集,把本地 dist 目录部署成一个公网静态网站,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E04,D10评测集,给这台服务器绑定一个弹性公网IP,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E05,D10评测集,看一下我的云数据库MySQL实例的状态,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E06,D10评测集,创建一个 Redis 缓存实例用于会话存储,D10-3,P1,PASS,PASS,PASS,PASS:3,20260926051000
展开级,EXP-E07,D10评测集,给生产环境的服务器配置一个每日备份策略,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E08,D10评测集,"我的ECS启动失败了, 帮我分析原因",D10-3,P1,PASS,FAIL,PASS,PASS:2 FAIL:1,20260926051000
展开级,EXP-E09,D10评测集,开设一个 Kubernetes 集群用于微服务部署,D10-3,P1,PASS,PASS,PASS,PASS:3,20260926051000
展开级,EXP-E10,D10评测集,部署一个函数处理图片自动压缩,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E11,D10评测集,查一下我账号这个月的费用情况,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E12,D10评测集,把应用日志指标推送到云监控告警,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E13,D10评测集,申请HTTPS证书并配置到我的域名,D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E14,D10评测集,"我账号下的用户都有哪些权限, 帮我审计一下",D10-3,P1,FAIL,FAIL,FAIL,FAIL:3,20260926051000
展开级,EXP-E15,D10评测集,帮我领一下华为云的代金券,D10-3,P1,PASS,PASS,PASS,PASS:3,20260926051000
展开级,EXP-NR3-01,NR3终端矩阵,Windows-stdio-COMMON,D1-27,P1,NA,NA,NA,不涉及:3,
展开级,EXP-NR3-02,NR3终端矩阵,Linux-OS_MATRIX,D1-27,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-NR3-03,NR3终端矩阵,Windows-真实安装布局-CROSS_PROCESS,D1-42,P1,NA,NA,NA,不涉及:3,
展开级,EXP-NR3-04,NR3终端矩阵,Linux-OS_MATRIX,D1-42,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-NR3-09,NR3终端矩阵,Windows-stdio+真实存量-OS_MATRIX,D1-39,P0,NA,NA,NA,不涉及:3,
展开级,EXP-NR3-10,NR3终端矩阵,Linux-OS_MATRIX,D1-39,P0,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
展开级,EXP-NR3-11,NR3终端矩阵,macOS/ARM-OS_MATRIX,D1-39,P0,NA,NA,NA,不涉及:3,
展开级,EXP-NR3-23,NR3终端矩阵,Windows-stdio-预热竞态-CLIENT_MATRIX,D1-45,P1,NA,NA,NA,不涉及:3,
展开级,EXP-NR3-24,NR3终端矩阵,Linux-OS_MATRIX,D1-45,P1,PASS,NA,NA,PASS:1 不涉及:2,20260926050647
