层级,ID,名称,源用例,优先级,OpenCode,Codex,CodeArtsAgent,CodeArtsWork,WorkBuddy,DSH,OfficeAce,Hermes,OpenClaw,AtomCode,当日总执行状态
设计级,D2-21,AK/SK 轮换后 auth_status 正确感知（凭证状态维度）,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-18,confirm-not-deny审批语义,,P0,,,,,,,,,,,NOT_RUN
设计级,D4-19,确认流下预检仍生效,,P0,,,,,,,,,,,NOT_RUN
设计级,D4-20,拒绝后零操作,,P1,,,,,,,,,,,NOT_RUN
设计级,D2-1,auth init三端同步,,P1,,,,,,,,,,,NOT_RUN
设计级,D2-2,auth status判定准确性,,P2,,,,,,,,,,,PASS
设计级,D2-3,auth sync幂等,,P2,,,,,,,,,,,NOT_RUN
设计级,D2-4,凭证脱敏正确性,,P0,,,,,,,,,,,PASS
设计级,D2-5,凭证缺失报错指引,,P1,,,,,,,,,,,PASS
设计级,D2-6,OBS独立配置引导,,P1,,,,,,,,,,,PASS
设计级,D2-7,无凭证降级,,P2,,,,,,,,,,,PASS
设计级,D3-A1,skill检索完整性,,P1,,,,,,,,,,,PASS
设计级,D3-A2,触发词路由准确,,P1,,,,,,,,,,,NOT_RUN
设计级,D3-A3,沙箱vs生产路由,,P1,,,,,,,,,,,NOT_RUN
设计级,D3-A4,区域意图提取,,P2,,,,,,,,,,,PASS
设计级,D3-A5,元数据正确性,,P2,,,,,,,,,,,PASS
设计级,D3-A6,市场/图标检索质量,,P2,,,,,,,,,,,NOT_RUN
设计级,D3-B1,list_operations规范名,,P2,,,,,,,,,,,PASS
设计级,D3-B2,plan命令质量,,P1,,,,,,,,,,,PASS
设计级,D3-B3,run_readonly脱敏执行,,P1,,,,,,,,,,,PASS
设计级,D3-B4,explain_error可执行,,P2,,,,,,,,,,,PASS
设计级,D3-B5,detect_framework识别,,P2,,,,,,,,,,,PASS
设计级,D3-B6,search_docs命中率,,P2,,,,,,,,,,,PASS
设计级,D3-C1,ECS生命周期E2E,,P1,,,,,,,,,,,BLOCKED
设计级,D3-C2,OBS静态站部署E2E,,P1,,,,,,,,,,,PASS
设计级,D3-C3,沙箱部署E2E,,P1,,,,,,,,,,,BLOCKED
设计级,D3-C4,服务创建类回归,,P1,,,,,,,,,,,NOT_RUN
设计级,D3-C5,工具冒烟,,P1,,,,,,,,,,,PASS
设计级,D3-B7,run_approved_command 审批后执行闭环,,P1,,,,,,,,,,,PASS
设计级,D3-B8,voucher_status 状态查询（领券状态读取）,,P1,,,,,,,,,,,PASS
设计级,D3-C6,沙箱 7 隐式工具具名冒烟（check_user/credentials/sign_agreement/exec_one_shot/upload_file/close_session/deploy_check）,,P1,,,,,,,,,,,BLOCKED
设计级,D3-C7,跨区域资源操作引导（区域维度）,,P1,,,,,,,,,,,PASS
设计级,D3-C8,企业项目（enterprise_project_id）参数支持（项目维度）,,P1,,,,,,,,,,,BLOCKED
设计级,D3-C9,资源不存在/已删除/冻结状态操作引导（资源状态维度）,,P1,,,,,,,,,,,FAIL
设计级,D4-1,凭证文件读取拦截,,P0,,,,,,,,,,,PASS
设计级,D4-2,凭证env打印拦截,,P0,,,,,,,,,,,FAIL
设计级,D4-3,明文secret API拦截,,P0,,,,,,,,,,,NOT_RUN
设计级,D4-4,写操作审批门,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-5,写操作误判检测,,P0,,,,,,,,,,,NOT_RUN
设计级,D4-6,adminPass回显警告,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-7,hook三工具有效性,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-8,Python/Node策略一致,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-9,公开暴露/破坏性预检,,P0,,,,,,,,,,,NOT_RUN
设计级,D4-10,规则库新增回归,,P2,,,,,,,,,,,NOT_RUN
设计级,D4-11,提示注入防护,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-12,供应链安装期安全,,P2,,,,,,,,,,,NOT_RUN
设计级,D4-13,最小权限凭证通过率,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-14,操作可审计性,,P2,,,,,,,,,,,NOT_RUN
设计级,D4-15,hook绕过尝试,,P0,,,,,,,,,,,FAIL
设计级,D4-16,命令包裹穿透,,P0,,,,,,,,,,,FAIL
设计级,D4-17,hook模糊fail-closed,,P1,,,,,,,,,,,NOT_RUN
设计级,D4-21,hook_check_artifacts 具名回归（代码/IaC/策略制品预检）,,P0,,,,,,,,,,,PASS
设计级,D4-22,hook_check_deploy_plan 具名回归（部署计划预检）,,P0,,,,,,,,,,,PASS
设计级,D4-23,全局规则 huawei-agent-rules.md 注入生效性（11 安装目标）,,P0,,,,,,,,,,,NOT_RUN
设计级,D4-24,确认令牌过期与重复确认边界（审批流健壮性）,,P1,,,,,,,,,,,SPEC-MISMATCH
设计级,D5-1,清单发现加载,,P1,,,,,,,,,,,PASS
设计级,D5-2,install落点正确,,P2,,,,,,,,,,,NOT_RUN
设计级,D5-3,工具全量枚举,,P1,,,,,,,,,,,PASS
设计级,D5-4,hook支持差异,,P2,,,,,,,,,,,NOT_RUN
设计级,D5-5,沙箱/终端模式差异,,P2,,,,,,,,,,,NOT_RUN
设计级,D5-6,Windows特有问题,,P1,,,,,,,,,,,NOT_RUN
设计级,D5-7,重启生效一致性,,P2,,,,,,,,,,,NOT_RUN
设计级,D5-8,服务矩阵↔技能目录双向对齐 + codex-desktop 补全,,P1,,,,,,,,,,,PASS
设计级,D6-1,检索响应延迟,,P2,,,,,,,,,,,PASS
设计级,D6-2,只读执行端到端,,P2,,,,,,,,,,,NOT_RUN
设计级,D6-3,MCP冷启时间,,P2,,,,,,,,,,,PASS
设计级,D6-4,并发调度正确性,,P1,,,,,,,,,,,PASS
设计级,D6-5,大目录/大上传,,P2,,,,,,,,,,,NOT_RUN
设计级,D6-6,弱网重试幂等,,P1,,,,,,,,,,,NOT_RUN
设计级,D6-7,长会话稳定性,,P2,,,,,,,,,,,NOT_RUN
设计级,D6-8,MCP 工具调用超时（网络/后端挂起）,,P1,,,,,,,,,,,NOT_RUN
设计级,D9-9,tools/call 超时协议语义与取消,,P1,,,,,,,,,,,SPEC-MISMATCH
设计级,D7-1,OS矩阵,,P2,,,,,,,,,,,NOT_RUN
设计级,D7-2,Node版本矩阵,,P2,,,,,,,,,,,NOT_RUN
设计级,D7-3,Windows better-sqlite3缺口,,P1,,,,,,,,,,,NOT_RUN
设计级,D7-4,国内镜像源安装,,P2,,,,,,,,,,,PASS
设计级,D7-5,与既有配置共存,,P1,,,,,,,,,,,NOT_RUN
设计级,D7-6,升级兼容,,P2,,,,,,,,,,,NOT_RUN
设计级,D8-1,文档与能力一致,,P2,,,,,,,,,,,PASS
设计级,D8-2,错误信息可执行,,P2,,,,,,,,,,,NOT_RUN
设计级,D8-3,脱敏误报平衡,,P1,,,,,,,,,,,NOT_RUN
设计级,D8-4,引导步骤可机械执行,,P1,,,,,,,,,,,PASS
设计级,D8-5,运行时日志安全,,P2,,,,,,,,,,,NOT_RUN
设计级,D8-6,中英文文档一致,,P2,,,,,,,,,,,PASS
设计级,D8-7,7 个 meta/通用技能指引可机械执行验证,,P0,,,,,,,,,,,PASS
设计级,D8-8,遥测策略端到端（trackTool/trackSandbox/hook 事件/上报脱敏）,,P1,,,,,,,,,,,NOT_RUN
设计级,D9-1,tools/list合规,,P1,,,,,,,,,,,PASS
设计级,D9-2,JSON-RPC错误码,,P1,,,,,,,,,,,FAIL
设计级,D9-3,tools/call响应格式,,P1,,,,,,,,,,,PASS
设计级,D9-4,协议生命周期,,P1,,,,,,,,,,,PASS
设计级,D9-5,stdio传输健壮,,P1,,,,,,,,,,,FAIL
设计级,D9-6,跨客户端互通,,P1,,,,,,,,,,,NOT_RUN
设计级,D9-7,协议版本协商降级,,P2,,,,,,,,,,,NOT_RUN
设计级,D9-8,inputSchema版本合规,,P2,,,,,,,,,,,PASS
设计级,D10-1,工具描述可选择性,,P1,,,,,,,,,,,NOT_RUN
设计级,D10-2,skill激活率,,P1,,,,,,,,,,,NOT_RUN
设计级,D10-3,路由准确率+混淆矩阵,,P1,,,,,,,,,,,NOT_RUN
设计级,D10-4,安全干预有效性,,P0,,,,,,,,,,,NOT_RUN
设计级,D10-5,多轮任务完成率,,P1,,,,,,,,,,,NOT_RUN
设计级,D10-6,评测基建,,P2,,,,,,,,,,,NOT_RUN
设计级,D10-7,评测失败分级,,P2,,,,,,,,,,,NOT_RUN
设计级,D10-8,评测成本预算,,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-1-1,OpenCode,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-1-2,OpenCode,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-1-3,OpenCode,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-1-4,OpenCode,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-1-5,OpenCode,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-1-6,OpenCode,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-1-7,OpenCode,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-2-1,Codex,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-2-2,Codex,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-2-3,Codex,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-2-4,Codex,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-2-5,Codex,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-2-6,Codex,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-2-7,Codex,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-3-1,CodeArtsAgent,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-3-2,CodeArtsAgent,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-3-3,CodeArtsAgent,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-3-4,CodeArtsAgent,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-3-5,CodeArtsAgent,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-3-6,CodeArtsAgent,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-3-7,CodeArtsAgent,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-4-1,CodeArtsWork,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-4-2,CodeArtsWork,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-4-3,CodeArtsWork,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-4-4,CodeArtsWork,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-4-5,CodeArtsWork,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-4-6,CodeArtsWork,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-4-7,CodeArtsWork,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-5-1,WorkBuddy,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-5-2,WorkBuddy,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-5-3,WorkBuddy,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-5-4,WorkBuddy,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-5-5,WorkBuddy,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-5-6,WorkBuddy,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-5-7,WorkBuddy,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-6-1,DSH,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-6-2,DSH,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-6-3,DSH,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-6-4,DSH,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-6-5,DSH,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-6-6,DSH,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-6-7,DSH,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-1,OfficeAce,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-7-2,OfficeAce,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-3,OfficeAce,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-7-4,OfficeAce,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-5,OfficeAce,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-6,OfficeAce,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-7,OfficeAce,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-1,Hermes,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-8-2,Hermes,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-3,Hermes,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-8-4,Hermes,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-5,Hermes,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-6,Hermes,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-7,Hermes,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-1,OpenClaw,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-9-2,OpenClaw,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-3,OpenClaw,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-9-4,OpenClaw,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-5,OpenClaw,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-6,OpenClaw,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-7,OpenClaw,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-1,AtomCode,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-10-2,AtomCode,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-3,AtomCode,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-10-4,AtomCode,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-5,AtomCode,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-6,AtomCode,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-7,AtomCode,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-01,ECS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-02,VPC,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-03,OBS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-04,RDS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-05,GaussDB,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-06,CCE,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-07,FunctionGraph,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-08,IAM,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-09,CTS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-10,CES,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-11,DDS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-12,DCS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-13,SMN,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-14,DMS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-15,WAF,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-16,CDN,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-17,ModelArts,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-18,DEW,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-19,CBR,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-20,EVS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-21,EIP,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-22,ELB,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E01,帮我查一下我账号在华北北京四有哪些云主机,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E02,"创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型",D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E03,把本地 dist 目录部署成一个公网静态网站,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E04,给这台服务器绑定一个弹性公网IP,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E05,看一下我的云数据库MySQL实例的状态,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E06,创建一个 Redis 缓存实例用于会话存储,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E07,给生产环境的服务器配置一个每日备份策略,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E08,"我的ECS启动失败了, 帮我分析原因",D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E09,开设一个 Kubernetes 集群用于微服务部署,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E10,部署一个函数处理图片自动压缩,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E11,查一下我账号这个月的费用情况,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E12,把应用日志指标推送到云监控告警,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E13,申请HTTPS证书并配置到我的域名,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E14,"我账号下的用户都有哪些权限, 帮我审计一下",D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E15,帮我领一下华为云的代金券,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-NR3-01,Windows-stdio-COMMON,D1-27,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-02,Linux-OS_MATRIX,D1-27,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-03,Windows-真实安装布局-CROSS_PROCESS,D1-42,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-04,Linux-OS_MATRIX,D1-42,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-05,Windows-stdio-COMMON,D1-46,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-06,Linux-OS_MATRIX,D1-46,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-07,Windows-stdio-fixture-COMMON,D1-53,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-08,Linux-OS_MATRIX,D1-53,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-09,Windows-stdio+真实存量-OS_MATRIX,D1-39,P0,,,,,,,,,,,FAIL
展开级,EXP-NR3-10,Linux-OS_MATRIX,D1-39,P0,,,,,,,,,,,PASS
展开级,EXP-NR3-11,macOS/ARM-OS_MATRIX,D1-39,P0,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-12,Windows-stdio+CLI-CLIENT_MATRIX,D1-49,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-13,Linux-OS_MATRIX,D1-49,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-14,Windows-OpenCode(非Hook)-CLIENT_MATRIX,D1-52,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-15,Windows-Hermes(Hook)-CLIENT_MATRIX,D1-52,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-15b,Windows-CodeArtsSpace(Hook)-CLIENT_MATRIX,D1-52,P1,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-16,Linux-OpenCode-OS_MATRIX,D1-52,P1,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-17,Windows-Hermes-AGENT_E2E,D1-54,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-18,Windows-stdio-多进程-CROSS_PROCESS,D1-48,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-19,Windows-remote-双请求序列-CROSS_PROCESS,D1-55,P1,,,,,,,,,,,SPEC-MISMATCH
展开级,EXP-NR3-20,Windows-remote-真实session-NOT_RUN,D1-55,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-NR3-21,Windows-TTY-COMMON,D1-55,P1,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-22,Linux-remote-OS_MATRIX,D1-55,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-23,Windows-stdio-预热竞态-CLIENT_MATRIX,D1-45,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-24,Linux-OS_MATRIX,D1-45,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-01,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-02,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-03,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-04,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-05,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
