层级,ID,展开类型,枚举对象,源用例,优先级,OpenCode,Codex,CodeArtsAgent,CodeArtsWork,WorkBuddy,DSH,OfficeAce,Hermes,OpenClaw,AtomCode,当日总执行状态
展开级,EXP-D5-7-3,D5客户端矩阵,OfficeAce,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-7-4,D5客户端矩阵,OfficeAce,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-5,D5客户端矩阵,OfficeAce,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-6,D5客户端矩阵,OfficeAce,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-7-7,D5客户端矩阵,OfficeAce,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-1,D5客户端矩阵,Hermes,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-8-2,D5客户端矩阵,Hermes,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-3,D5客户端矩阵,Hermes,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-8-4,D5客户端矩阵,Hermes,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-5,D5客户端矩阵,Hermes,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-6,D5客户端矩阵,Hermes,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-8-7,D5客户端矩阵,Hermes,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-1,D5客户端矩阵,OpenClaw,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-9-2,D5客户端矩阵,OpenClaw,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-3,D5客户端矩阵,OpenClaw,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-9-4,D5客户端矩阵,OpenClaw,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-5,D5客户端矩阵,OpenClaw,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-6,D5客户端矩阵,OpenClaw,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-9-7,D5客户端矩阵,OpenClaw,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-1,D5客户端矩阵,AtomCode,D5-1,P1,,,,,,,,,,,PASS
展开级,EXP-D5-10-2,D5客户端矩阵,AtomCode,D5-2,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-3,D5客户端矩阵,AtomCode,D5-3,P1,,,,,,,,,,,PASS
展开级,EXP-D5-10-4,D5客户端矩阵,AtomCode,D5-4,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-5,D5客户端矩阵,AtomCode,D5-5,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-6,D5客户端矩阵,AtomCode,D5-6,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-D5-10-7,D5客户端矩阵,AtomCode,D5-7,P2,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-01,D3-C4服务矩阵,ECS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-02,D3-C4服务矩阵,VPC,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-03,D3-C4服务矩阵,OBS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-04,D3-C4服务矩阵,RDS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-05,D3-C4服务矩阵,GaussDB,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-06,D3-C4服务矩阵,CCE,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-07,D3-C4服务矩阵,FunctionGraph,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-08,D3-C4服务矩阵,IAM,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-09,D3-C4服务矩阵,CTS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-10,D3-C4服务矩阵,CES,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-11,D3-C4服务矩阵,DDS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-12,D3-C4服务矩阵,DCS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-13,D3-C4服务矩阵,SMN,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-14,D3-C4服务矩阵,DMS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-15,D3-C4服务矩阵,WAF,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-16,D3-C4服务矩阵,CDN,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-17,D3-C4服务矩阵,ModelArts,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-18,D3-C4服务矩阵,DEW,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-19,D3-C4服务矩阵,CBR,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-20,D3-C4服务矩阵,EVS,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-21,D3-C4服务矩阵,EIP,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-C4-22,D3-C4服务矩阵,ELB,D3-C4,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E01,D10评测集,帮我查一下我账号在华北北京四有哪些云主机,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E02,D10评测集,"创建一台 2C4G 的 Ubuntu 云服务器, 规格通用型",D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E03,D10评测集,把本地 dist 目录部署成一个公网静态网站,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E04,D10评测集,给这台服务器绑定一个弹性公网IP,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E05,D10评测集,看一下我的云数据库MySQL实例的状态,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E06,D10评测集,创建一个 Redis 缓存实例用于会话存储,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E07,D10评测集,给生产环境的服务器配置一个每日备份策略,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E08,D10评测集,"我的ECS启动失败了, 帮我分析原因",D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E09,D10评测集,开设一个 Kubernetes 集群用于微服务部署,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E10,D10评测集,部署一个函数处理图片自动压缩,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E11,D10评测集,查一下我账号这个月的费用情况,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E12,D10评测集,把应用日志指标推送到云监控告警,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E13,D10评测集,申请HTTPS证书并配置到我的域名,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E14,D10评测集,"我账号下的用户都有哪些权限, 帮我审计一下",D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-E15,D10评测集,帮我领一下华为云的代金券,D10-3,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-NR3-01,NR3终端矩阵,Windows-stdio-COMMON,D1-27,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-02,NR3终端矩阵,Linux-OS_MATRIX,D1-27,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-03,NR3终端矩阵,Windows-真实安装布局-CROSS_PROCESS,D1-42,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-04,NR3终端矩阵,Linux-OS_MATRIX,D1-42,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-05,NR3终端矩阵,Windows-stdio-COMMON,D1-46,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-06,NR3终端矩阵,Linux-OS_MATRIX,D1-46,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-07,NR3终端矩阵,Windows-stdio-fixture-COMMON,D1-53,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-08,NR3终端矩阵,Linux-OS_MATRIX,D1-53,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-09,NR3终端矩阵,Windows-stdio+真实存量-OS_MATRIX,D1-39,P0,,,,,,,,,,,FAIL
展开级,EXP-NR3-10,NR3终端矩阵,Linux-OS_MATRIX,D1-39,P0,,,,,,,,,,,PASS
展开级,EXP-NR3-11,NR3终端矩阵,macOS/ARM-OS_MATRIX,D1-39,P0,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-12,NR3终端矩阵,Windows-stdio+CLI-CLIENT_MATRIX,D1-49,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-13,NR3终端矩阵,Linux-OS_MATRIX,D1-49,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-14,NR3终端矩阵,Windows-OpenCode(非Hook)-CLIENT_MATRIX,D1-52,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-15,NR3终端矩阵,Windows-Hermes(Hook)-CLIENT_MATRIX,D1-52,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-15b,NR3终端矩阵,Windows-CodeArtsSpace(Hook)-CLIENT_MATRIX,D1-52,P1,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-16,NR3终端矩阵,Linux-OpenCode-OS_MATRIX,D1-52,P1,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-17,NR3终端矩阵,Windows-Hermes-AGENT_E2E,D1-54,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-18,NR3终端矩阵,Windows-stdio-多进程-CROSS_PROCESS,D1-48,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-19,NR3终端矩阵,Windows-remote-双请求序列-CROSS_PROCESS,D1-55,P1,,,,,,,,,,,SPEC-MISMATCH
展开级,EXP-NR3-20,NR3终端矩阵,Windows-remote-真实session-NOT_RUN,D1-55,P1,,,,,,,,,,,NOT_RUN
展开级,EXP-NR3-21,NR3终端矩阵,Windows-TTY-COMMON,D1-55,P1,,,,,,,,,,,BLOCKED
展开级,EXP-NR3-22,NR3终端矩阵,Linux-remote-OS_MATRIX,D1-55,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-23,NR3终端矩阵,Windows-stdio-预热竞态-CLIENT_MATRIX,D1-45,P1,,,,,,,,,,,PASS
展开级,EXP-NR3-24,NR3终端矩阵,Linux-OS_MATRIX,D1-45,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-01,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-02,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-03,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-04,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
展开级,EXP-D1-58-05,D1-58白名单矩阵,Linux L(隔离HOME),D1-58,P1,,,,,,,,,,,PASS
